,id,tweet,label,category,loc
11,'325341535325528065',RT @bradplumer: 60 people are still unaccounted for after the fertilizer explosion in Texas: http://t.co/R7TpLU93BF,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 86, 'end': 91}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
12,'295884506035019776',RT @HughRundle: When did he become a Labor Gvt spokesperson? RT @TenLateNews: Tony Abbott says Labor may seek new Queensland flood levy  ...,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 114, 'end': 124}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
13,'295853365785673728',"RT @ruvinids: Dear Queensland flood, go away I hate you.",on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 19, 'end': 29}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
14,'336774336776122368',RT @cspinksxox: So awful to hear what's happened in Oklahoma :( #PrayForOklahoma,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 52, 'end': 60}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
15,'382828003946160128',"Survivors wait for food, aid after Pakistan quake http://t.co/TWIAjcktfP #quake #earthquake",on-topic,earthquake,"{'word': 'Pakistan', 'spans': [{'start': 35, 'end': 43}], 'country_predicted': 'PAK', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '30', 'lon': '70', 'country_code3': 'PAK', 'geonameid': '1168579', 'place_name': 'Islamic Republic of Pakistan', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
16,'263040596107726848',"Biden, Clinton Campaign in Ohio as Obama Monitors Hurricane Sandy – ABC News (blog) http://t.co/jOJH3mcq",on-topic,hurricane,"{'word': 'Ohio', 'spans': [{'start': 27, 'end': 31}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Ohio', 'lat': '40.25034', 'lon': '-83.00018', 'country_code3': 'USA', 'geonameid': '5165418', 'place_name': 'Ohio', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
17,'296101700673101824',Photos: Flood water rises in Australia:  http://t.co/gLfEJCP5,on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 29, 'end': 38}], 'country_predicted': 'AUS', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
18,'336871360552906753',RT @alcomMontgomery: Toomer's for Tuscaloosa and other ways you can help victims of Oklahoma tornado. http://t.co/cDsV0qoJ0A,on-topic,tornado,"{'word': 'Tuscaloosa', 'spans': [{'start': 34, 'end': 44}], 'country_predicted': 'USA', 'country_conf': 0.9516948, 'geo': {'admin1': 'Alabama', 'lat': '33.28955', 'lon': '-87.52503', 'country_code3': 'USA', 'geonameid': '4094463', 'place_name': 'Tuscaloosa County', 'feature_class': 'A', 'feature_code': 'ADM2'}}"
19,'336727059797782528',RT @HuffingtonPost: How you can help the victims of Oklahoma's devastating tornado http://t.co/j0QS8KHS5D,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 52, 'end': 60}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
20,'296027310572834816',Sending thoughts and love to those in eastern Australia that are affected by the flood.,on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 46, 'end': 55}], 'country_predicted': 'AUS', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
21,'296482527886073856',RT @brisbanetimes: Sad news: A second body has been found in Sandy Creek. Bringing the toll from the Queensland flood disaster to six. h ...,on-topic,floods,"{'word': 'Sandy Creek', 'spans': [{'start': 61, 'end': 72}], 'country_predicted': 'AUS', 'country_conf': 0.9048774, 'geo': {'admin1': 'Queensland', 'lat': '-26.85057', 'lon': '152.63766', 'country_code3': 'AUS', 'geonameid': '8349260', 'place_name': 'Sandy Creek', 'feature_class': 'P', 'feature_code': 'PPLX'}}"
24,'348442867716456448',RT @BuzzFeedNews: Canadian floods claim at least three lives and force evacuation of downtown Calgary http://t.co/skQChnwoSF http://t.co/Eb…,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 94, 'end': 101}], 'country_predicted': 'CAN', 'country_conf': 0.9064518, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
25,'338711791687307264',RT @BlogPaws: Animals in Oklahoma need our help: Help BlogPaws help animals affected by the disaster:... http://t.co/aA8wp4BUt1,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 25, 'end': 33}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
26,'336670722674016257',RT @Dancemomchristi: Many prayers to Oklahoma!! Stay safe,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 37, 'end': 45}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
27,'348742634296180736',RT @Alex_Verbeek: Alberta underwater: The 4 factors that led to massive flooding http://t.co/cOU3XloMTs #floods #water #climate,on-topic,floods,"{'word': 'Alberta', 'spans': [{'start': 18, 'end': 25}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '52.28333', 'lon': '-117.469', 'country_code3': 'CAN', 'geonameid': '5883102', 'place_name': 'Alberta', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
28,'324864279247462401',Fertilizer plant explosion injures at least 160 in central Texas; 5 to 15 feared dead http://t.co/H8Qp90EzbJ via @washingtonpost,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 59, 'end': 64}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
29,'349660326423314432',Brutal week. Calgary floods trigger an oil spill and a mass evacuation http://t.co/qvrtAYeWZK,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 13, 'end': 20}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
30,'325355178398199808',RT @richardbranson: At the Virgin London Marathon we will be supporting all those affected in Boston http://t.co/6LHYEvkRE3 #VLM2013,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 94, 'end': 100}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
32,'336719430899859457',"RT @markhoppus: Horrible, awful, heartbreaking news about Oklahoma.  So terrible.  Our thoughts and prayers are with you.",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 58, 'end': 66}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
33,'263298821189156865',I don't know how I'm getting back to Jersey since the trains and subways aren't running...,on-topic,hurricane,"{'word': 'Jersey', 'spans': [{'start': 37, 'end': 43}], 'country_predicted': 'JEY', 'country_conf': 0.9048774, 'geo': {'admin1': 'NA', 'lat': '49.2167', 'lon': '-2.13753', 'country_code3': 'JEY', 'geonameid': '3042143', 'place_name': 'Jersey', 'feature_class': 'T', 'feature_code': 'ISL'}}"
34,'324890671934738433',"RT @Lars9596: #WestTX Whatever caused the massive explosion in West, #Waco, Texas, it's time to review safety measures. (cont) http://t. ...",on-topic,explosion,"{'word': 'Waco', 'spans': [{'start': 70, 'end': 74}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.54933', 'lon': '-97.14667', 'country_code3': 'USA', 'geonameid': '4739526', 'place_name': 'Waco', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
35,'324727821538840578',RT @YourAnonNews: WFAA (abc affiliate) in Dallas is reporting 60-70 dead and more than 100 injured. #WestExplosion,on-topic,explosion,"{'word': 'Dallas', 'spans': [{'start': 42, 'end': 48}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Texas', 'lat': '32.78306', 'lon': '-96.80667', 'country_code3': 'USA', 'geonameid': '4684888', 'place_name': 'Dallas', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
36,'323980807674949632',RT @asdfghjessica_: My prayers go out to all those affected by the Boston marathon bombing ??????,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 67, 'end': 73}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
38,'503645380752338944',Massachusetts USA Lowell BREAKING NEWS 211 earthquake Napa earthquake of 2014 heyyouapp... http://t.co/AWMe7ewHii via @heyyouapp,on-topic,earthquake,"{'word': 'Napa', 'spans': [{'start': 54, 'end': 58}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'California', 'lat': '38.50647', 'lon': '-122.33053', 'country_code3': 'USA', 'geonameid': '5376101', 'place_name': 'Napa County', 'feature_class': 'A', 'feature_code': 'ADM2'}}"
39,'324732014924271616',BBC: Explosion at Texas fertiliser plant: Many people are reported injured with others trapped after an explos... http://t.co/vAKT9zwi9s,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 18, 'end': 23}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
40,'325071131419746305',RT @DaneCook: I've changed my profile picture to honor the life of Martin Richard who was killed in the Boston bombing. His message shou ...,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 104, 'end': 110}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
41,'295866156181491712',"Baby stuffed in bag, hoisted from flood: Australia's powerful storms led to an amazing rescue of two women and a... http://t.co/IVJgdlgX",on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 41, 'end': 50}], 'country_predicted': 'AUS', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
42,'591902829402574848',"RT @AtheistWorld: Please, don't pray for Nepal. Do something about it. Lots of people need actual help right now. Thanks. http://t.co/fDfNg‰Û_",on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 41, 'end': 46}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
44,'295755175543582720',RT @geeksrulz: LIVE shot of Mr -63% in Queensland helping with the flood photo op.  http://t.co/EYObGpHc  #auspol  #StopTheStunts,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 39, 'end': 49}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
45,'591903347365412864',RT @charitywater: People in Nepal need our help. Donate at http://t.co/4gEX4hY2dD and 100% will fund earthquake relief and recovery. http:/‰Û_,on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 28, 'end': 33}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
46,'336718002277974016',RT @Polly_Kago: Praying for #Oklahoma. God be near.,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 29, 'end': 37}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
47,'324839608250683392',"RT @NBCNews: Hundreds hurt, fatalities confirmed in 'devastating'  Texas explosion http://t.co/dhGeJKm2Nt",on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 67, 'end': 72}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
48,'336696384323473409',"Passing out, up early at 5 am for another day of driving. But thank god i finally be out in Oklahoma",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 92, 'end': 100}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
49,'591902760213188608',"RT @diary_of_a_hack: ""@NorthmenPK: #Everest base camp after #NepalEarthquake. #NepalQuake http://t.co/G1aNytcEcW""  @htTweets @Rezhasan",on-topic,earthquake,"{'word': 'Everest', 'spans': [{'start': 36, 'end': 43}], 'country_predicted': 'NPL', 'country_conf': 0.6353264, 'geo': {'admin1': 'NA', 'lat': '27.98791', 'lon': '86.92529', 'country_code3': 'NPL', 'geonameid': '1283416', 'place_name': 'Mount Everest', 'feature_class': 'T', 'feature_code': 'MT'}}"
50,'262939210766499840',Hurricane Sandy Bears Down on East Coast - http://t.co/sIVETwUm http://t.co/xKZehab0 via @WSJ,on-topic,hurricane,"{'word': 'East Coast', 'spans': [{'start': 30, 'end': 40}], 'country_predicted': 'NZL', 'country_conf': 0.87992215, 'geo': {'admin1': 'Gisborne', 'lat': '-38.65', 'lon': '178', 'country_code3': 'NZL', 'geonameid': '2190767', 'place_name': 'Gisborne', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
51,'382822305250148352',RT @AshrafMarri: @MSF_USA @UNICEF @UN #earthquake affected people of #Awaran #Balochistan. Need  your Help. http://t.co/GwFSDe6Yqb,on-topic,earthquake,"{'word': 'Balochistan', 'spans': [{'start': 78, 'end': 89}], 'country_predicted': 'PAK', 'country_conf': 0.7178229, 'geo': {'admin1': 'Balochistān', 'lat': '28.47849', 'lon': '65.64355', 'country_code3': 'PAK', 'geonameid': '1183606', 'place_name': 'Balochistan', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
52,'325219412250607619',The Two Boston Terrorists would have been ten or eleven years old when they arrived in the USA. And possibly trained as sleeper terrorists.,on-topic,bombing,"{'word': 'USA', 'spans': [{'start': 91, 'end': 94}], 'country_predicted': 'USA', 'country_conf': 0.9516948, 'geo': {'admin1': 'Louisiana', 'lat': '29.2605', 'lon': '-89.35478', 'country_code3': 'USA', 'geonameid': '4319780', 'place_name': 'Chevron USA Incorporated Seaplane Base', 'feature_class': 'S', 'feature_code': 'AIRP'}}"
53,'451188523417079808',"Early finite fault model for Iquique quake http://t.co/W52G9pAO9u suggests concentrated patch of slip at 30+ km depth, not much shallow slip",on-topic,earthquake,"{'word': 'Iquique', 'spans': [{'start': 29, 'end': 36}], 'country_predicted': 'CHL', 'country_conf': 0.96374094, 'geo': {'admin1': 'Tarapacá', 'lat': '-20.21326', 'lon': '-70.15027', 'country_code3': 'CHL', 'geonameid': '3887127', 'place_name': 'Iquique', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
54,'324714022429655040',RT @FoxNews: #BREAKING: Numerous injuries reported in large explosion at #Texas fertilizer planthttp://t.co/oH93niFiAS,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 74, 'end': 79}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
56,'337297976621936641',"RT @whitehouse: President Obama will visit #Oklahoma on Sunday to see firsthand the response to the tornadoes, meet with families & thank f…",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 44, 'end': 52}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
57,'336923700077142016',Our thoughts go out to everyone affected by the devastating tornadoes in Oklahoma & entire region.,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 73, 'end': 81}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
58,'336832263029395456',Devastating tornado in Oklahoma begs the question: Why don't schools and families build tornado shelters anymore? http://t.co/ccIPM5KcC7,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 23, 'end': 31}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
59,'591903106536853504',"State Dept ""Confirm that 3 U.S. citizens died in Nepal on April 25. US expresses its deepest condolences to family &amp; friends of victims.""",on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 49, 'end': 54}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
60,'324228579971973121',"by jrct2007 Pray for Boston City... JR  @ Boston, MA http://t.co/gpn7jziIPe",on-topic,bombing,"{'word': 'Boston City', 'spans': [{'start': 21, 'end': 32}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Massachusetts', 'lat': '42.33315', 'lon': '-71.07283', 'country_code3': 'USA', 'geonameid': '4930971', 'place_name': 'Boston City Hospital Heliport', 'feature_class': 'S', 'feature_code': 'AIRH'}}"
61,'325271580529799168',"RT @NewsBreaker: DEVELOPING: Anzor Tsarnaev, father of Boston bomb suspects says he believes secret services framed sons http://t.co/nVU ...",on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 55, 'end': 61}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
62,'336949174484480000',Called it! Alex Jones accusing government of being behind the Oklahoma tornado. You can't fix stupid.,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 62, 'end': 70}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
63,'324734297363869697',"RT @ABC: 75 to 100 houses, businesses completely destroyed around Texas fertilizer plant explosion http://t.co/ZlnCEsAAp2 http://t.co/5Z ...",on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 66, 'end': 71}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
